Name,Goal + Assist,Point Diff,Rank Diff,Team
Temwa_Chawinga,26,29,-1,Kansas City Current
Barbra Banda,19,18,-3,Orlando Pride
Ella Stevens,10,13,-2,NJ/NY Gotham FC
Croix Bethune,15,13,-2,Washington Spirit
Trinity Rodman,14,11,-2,Washington Spirit
Sophia Smith,18,10,-6,Portland Thorns FC
Mallory Swanson,11,9,-5,Chicago Red Stars
Marta Vieira da Silva,10,9,-3,Orlando Pride
Yazmeen Ryan,10,9,-1,NJ/NY Gotham FC
Esther González,11,8,-2,NJ/NY Gotham FC
Asisat Oshoala,8,7,-2,Bay FC
Allyson Schlegel,7,7,-3,Chicago Red Stars
Ashley Sanchez,9,6,-2,North Carolina Courage
VanessaDiBernardo,11,6,0,Kansas City Current
Racheal Kundananji,9,5,-1,Bay FC
Débora Cristiane de Oliveira,9,5,0,Kansas City Current
Tyler Lussi,6,4,0,North Carolina Courage
Olivia Moultrie,6,1,0,Portland Thorns FC