Date,Home,Away,Attendance,Venue
2021-07-25,Racing Louisville FC,Washington Spirit,"6,422",Lynn Family Stadium
2021-07-25,NJ/NY Gotham FC,Chicago Red Stars,,Red Bull Arena
2021-07-31,OL Reign,Racing Louisville FC,"3,097",Cheney Stadium
2021-07-31,North Carolina Courage,Orlando Pride,"5,523",WakeMed Soccer Park
2021-08-01,Houston Dash,NJ/NY Gotham FC,"3,517",Shell Energy Stadium
2021-08-01,Chicago Red Stars,Washington Spirit,"2,534",SeatGeek Stadium
2021-08-01,Portland Thorns FC,Kansas City Current,"16,246",Providence Park
2021-08-07,OL Reign,Houston Dash,"2,922",Cheney Stadium
2021-08-07,Washington Spirit,Portland Thorns FC,"2,899",Segra Field
2021-08-07,NJ/NY Gotham FC,North Carolina Courage,"2,179",Red Bull Arena
2021-08-08,Chicago Red Stars,Orlando Pride,"3,298",SeatGeek Stadium
2021-08-08,Racing Louisville FC,Kansas City Current,"5,843",Lynn Family Stadium
2021-08-13,Houston Dash,Washington Spirit,"3,167",Shell Energy Stadium
2021-08-14,Kansas City Current,OL Reign,,Legends Field
2021-08-14,Orlando Pride,Portland Thorns FC,"4,209",Inter&Co Stadium
2021-08-15,North Carolina Courage,Chicago Red Stars,"5,002",WakeMed Soccer Park
2021-08-15,NJ/NY Gotham FC,Racing Louisville FC,"2,200",Red Bull Arena
2021-08-18,Racing Louisville FC,Chicago Red Stars,"7,310",Lynn Family Stadium
2021-08-21,OL Reign,NJ/NY Gotham FC,"3,657",Cheney Stadium
2021-08-21,North Carolina Courage,Kansas City Current,,WakeMed Soccer Park
2021-08-22,Washington Spirit,Orlando Pride,"6,002",Audi Field
2021-08-25,Portland Thorns FC,NJ/NY Gotham FC,"14,299",Providence Park
2021-08-25,Kansas City Current,Racing Louisville FC,"3,997",Legends Field
2021-08-28,Chicago Red Stars,Kansas City Current,"3,536",SeatGeek Stadium
2021-08-29,Houston Dash,Racing Louisville FC,"3,292",Shell Energy Stadium
2021-08-29,OL Reign,Portland Thorns FC,"27,278",Lumen Field
2021-08-29,NJ/NY Gotham FC,Orlando Pride,"7,035",Red Bull Arena
2021-08-29,Washington Spirit,North Carolina Courage,"4,554",Audi Field
2021-09-01,Houston Dash,OL Reign,,Shell Energy Stadium
2021-09-04,Racing Louisville FC,OL Reign,,Lynn Family Stadium
2021-09-04,NJ/NY Gotham FC,Chicago Red Stars,"3,252",Red Bull Arena
2021-09-05,Kansas City Current,North Carolina Courage,"4,583",Legends Field
2021-09-05,Orlando Pride,Houston Dash,,Inter&Co Stadium
2021-09-10,Houston Dash,Chicago Red Stars,"3,155",Shell Energy Stadium
2021-09-11,Orlando Pride,Racing Louisville FC,"3,822",Inter&Co Stadium
2021-09-12,North Carolina Courage,Portland Thorns FC,"5,161",WakeMed Soccer Park
2021-09-25,Chicago Red Stars,Portland Thorns FC,"3,527",SeatGeek Stadium
2021-09-25,NJ/NY Gotham FC,North Carolina Courage,"2,887",Red Bull Arena
2021-09-26,OL Reign,Orlando Pride,"5,044",Cheney Stadium
2021-09-26,Washington Spirit,Kansas City Current,"3,295",Segra Field
2021-09-26,Racing Louisville FC,Houston Dash,"6,374",Lynn Family Stadium
2021-10-06,Portland Thorns FC,Houston Dash,"11,139",Providence Park
2021-10-06,North Carolina Courage,Racing Louisville FC,"3,523",WakeMed Soccer Park
2021-10-06,NJ/NY Gotham FC,Washington Spirit,"9,532",Subaru Park
2021-10-09,Washington Spirit,Racing Louisville FC,,Audi Field
2021-10-09,Orlando Pride,NJ/NY Gotham FC,,Inter&Co Stadium
2021-10-10,OL Reign,Chicago Red Stars,"3,588",Cheney Stadium
2021-10-10,Houston Dash,North Carolina Courage,"4,155",Shell Energy Stadium
2021-10-10,Kansas City Current,Portland Thorns FC,"5,438",Legends Field
2021-10-13,Portland Thorns FC,OL Reign,"11,754",Providence Park
2021-10-13,Chicago Red Stars,Orlando Pride,"3,198",SeatGeek Stadium
2021-10-13,Kansas City Current,Houston Dash,"3,449",Legends Field
2021-10-13,North Carolina Courage,Washington Spirit,"3,742",WakeMed Soccer Park
2021-10-16,OL Reign,Washington Spirit,"4,009",Cheney Stadium
2021-10-16,Chicago Red Stars,Kansas City Current,"4,488",SeatGeek Stadium
2021-10-16,Racing Louisville FC,Orlando Pride,"8,488",Lynn Family Stadium
2021-10-17,Houston Dash,Portland Thorns FC,"4,792",Shell Energy Stadium
2021-10-17,North Carolina Courage,NJ/NY Gotham FC,"7,064",WakeMed Soccer Park
2021-10-22,Kansas City Current,NJ/NY Gotham FC,"4,733",Legends Field
2021-10-28,Racing Louisville FC,NJ/NY Gotham FC,"6,508",Lynn Family Stadium
2021-10-29,Orlando Pride,Chicago Red Stars,,Inter&Co Stadium
2021-10-30,Portland Thorns FC,North Carolina Courage,"17,584",Providence Park
2021-10-30,Kansas City Current,OL Reign,"6,345",Legends Field
2021-10-31,NJ/NY Gotham FC,Racing Louisville FC,"6,362",Red Bull Arena
2021-10-31,Washington Spirit,Houston Dash,"4,542",Audi Field
2021-11-07,Washington Spirit,North Carolina Courage,"5,379",Audi Field
2021-11-07,Chicago Red Stars,NJ/NY Gotham FC,"7,027",SeatGeek Stadium
2021-11-14,Portland Thorns FC,Chicago Red Stars,"15,832",Providence Park
2021-11-14,OL Reign,Washington Spirit,"5,273",Cheney Stadium
2021-11-20,Washington Spirit,Chicago Red Stars,,Lynn Family Stadium
2022-04-29,Angel City FC,North Carolina Courage,"22,000",BMO Stadium
2022-04-30,Portland Thorns FC,Kansas City Current,"13,672",Providence Park
2022-04-30,Chicago Red Stars,Racing Louisville FC,"3,028",SeatGeek Stadium
2022-05-01,Washington Spirit,OL Reign,"10,177",Audi Field
2022-05-01,Orlando Pride,Chicago Red Stars,"4,304",Inter&Co Stadium
2022-05-01,Houston Dash,San Diego Wave FC,"7,722",Shell Energy Stadium
2022-05-07,San Diego Wave FC,NJ/NY Gotham FC,,Torero Stadium
2022-05-08,Angel City FC,Angel City FC,,BMO Stadium
2022-05-08,OL Reign,Racing Louisville FC,"4,396",Lumen Field
2022-05-08,Kansas City Current,Houston Dash,"6,140",Children's Mercy Park
2022-05-13,Portland Thorns FC,OL Reign,"14,496",Providence Park
2022-05-14,Racing Louisville FC,Houston Dash,,Lynn Family Stadium
2022-05-14,Orlando Pride,Kansas City Current,"3,511",Inter&Co Stadium
2022-05-15,San Diego Wave FC,Chicago Red Stars,"5,000",Torero Stadium
2022-05-15,Washington Spirit,Angel City FC,"7,433",Audi Field
2022-05-18,Portland Thorns FC,Washington Spirit,"9,876",Providence Park
2022-05-18,Racing Louisville FC,San Diego Wave FC,,Lynn Family Stadium
2022-05-18,North Carolina Courage,Chicago Red Stars,"3,084",WakeMed Soccer Park
2022-05-21,Angel City FC,Kansas City Current,"18,514",BMO Stadium
2022-05-21,Portland Thorns FC,Houston Dash,,Providence Park
2022-05-22,Orlando Pride,Chicago Red Stars,,Inter&Co Stadium
2022-05-22,OL Reign,Washington Spirit,"5,846",Lumen Field
2022-05-22,NJ/NY Gotham FC,Racing Louisville FC,"2,672",Red Bull Arena
2022-05-22,North Carolina Courage,San Diego Wave FC,"6,070",WakeMed Soccer Park
2022-05-25,OL Reign,Kansas City Current,"3,944",Lumen Field
2022-05-27,Orlando Pride,Washington Spirit,"3,586",Inter&Co Stadium
2022-05-28,Chicago Red Stars,Portland Thorns FC,"3,268",SeatGeek Stadium
2022-05-29,Angel City FC,NJ/NY Gotham FC,"18,784",BMO Stadium
2022-05-29,Houston Dash,North Carolina Courage,"4,852",Shell Energy Stadium
2022-05-29,OL Reign,San Diego Wave FC,"5,712",Lumen Field
2022-05-30,Kansas City Current,Racing Louisville FC,"6,484",Children's Mercy Park
2022-06-01,Washington Spirit,Chicago Red Stars,"1,961",Segra Field
2022-06-03,Portland Thorns FC,Angel City FC,"14,493",Providence Park
2022-06-03,Houston Dash,Orlando Pride,"6,073",Shell Energy Stadium
2022-06-04,Kansas City Current,San Diego Wave FC,"7,954",Children's Mercy Park
2022-06-04,Racing Louisville FC,North Carolina Courage,"5,738",Lynn Family Stadium
2022-06-04,NJ/NY Gotham FC,Washington Spirit,"6,433",Red Bull Arena
2022-06-04,Chicago Red Stars,OL Reign,"3,002",SeatGeek Stadium
2022-06-07,Angel City FC,Houston Dash,"16,739",BMO Stadium
2022-06-08,San Diego Wave FC,Portland Thorns FC,"6,100",Torero Stadium
2022-06-08,Chicago Red Stars,Washington Spirit,"2,312",SeatGeek Stadium
2022-06-11,Kansas City Current,NJ/NY Gotham FC,"5,695",Children's Mercy Park
2022-06-11,Racing Louisville FC,Angel City FC,"6,139",Lynn Family Stadium
2022-06-11,Washington Spirit,North Carolina Courage,"4,236",Segra Field
2022-06-12,Houston Dash,Portland Thorns FC,,Shell Energy Stadium
2022-06-12,Chicago Red Stars,Orlando Pride,"3,881",SeatGeek Stadium
2022-06-12,San Diego Wave FC,OL Reign,"5,000",Torero Stadium
2022-06-17,Washington Spirit,Racing Louisville FC,"2,790",Segra Field
2022-06-18,OL Reign,Angel City FC,"6,367",Lumen Field
2022-06-18,Kansas City Current,Chicago Red Stars,"6,848",Children's Mercy Park
2022-06-19,North Carolina Courage,Houston Dash,"4,117",WakeMed Soccer Park
2022-06-19,NJ/NY Gotham FC,San Diego Wave FC,"7,145",Red Bull Arena
2022-06-19,Portland Thorns FC,Orlando Pride,"16,185",Providence Park
2022-07-01,Angel City FC,Portland Thorns FC,"17,492",BMO Stadium
2022-07-01,OL Reign,North Carolina Courage,"7,519",Lumen Field
2022-07-01,Houston Dash,Kansas City Current,"5,007",Shell Energy Stadium
2022-07-02,NJ/NY Gotham FC,Chicago Red Stars,"3,499",Red Bull Arena
2022-07-03,Orlando Pride,Racing Louisville FC,"7,573",Daytona International Speedway Stadium
2022-07-08,Racing Louisville FC,NJ/NY Gotham FC,"5,771",Lynn Family Stadium
2022-07-08,Orlando Pride,Houston Dash,,Inter&Co Stadium
2022-07-09,Angel City FC,San Diego Wave FC,"22,000",BMO Stadium
2022-07-10,Chicago Red Stars,North Carolina Courage,"4,098",SeatGeek Stadium
2022-07-10,OL Reign,Portland Thorns FC,"9,032",Lumen Field
2022-07-10,Washington Spirit,Washington Spirit,"2,932",Segra Field
2022-07-15,San Diego Wave FC,Racing Louisville FC,"4,747",Torero Stadium
2022-07-16,Portland Thorns FC,NJ/NY Gotham FC,"16,870",Providence Park
2022-07-16,Houston Dash,Chicago Red Stars,"4,637",Shell Energy Stadium
2022-07-17,Kansas City Current,OL Reign,,Children's Mercy Park
2022-07-17,Washington Spirit,Orlando Pride,,Audi Field
2022-07-29,Racing Louisville FC,Portland Thorns FC,"7,089",Lynn Family Stadium
2022-07-29,North Carolina Courage,Washington Spirit,"5,211",WakeMed Soccer Park
2022-07-30,Angel City FC,OL Reign,,BMO Stadium
2022-07-30,Chicago Red Stars,San Diego Wave FC,"23,951",Soldier Field
2022-07-31,Kansas City Current,Orlando Pride,"7,192",Children's Mercy Park
2022-07-31,NJ/NY Gotham FC,Houston Dash,"5,631",Red Bull Arena
2022-08-02,Racing Louisville FC,OL Reign,"5,107",Lynn Family Stadium
2022-08-05,Racing Louisville FC,Washington Spirit,"5,364",Lynn Family Stadium
2022-08-05,Portland Thorns FC,North Carolina Courage,"17,139",Providence Park
2022-08-07,Orlando Pride,Angel City FC,"4,904",Inter&Co Stadium
2022-08-07,Chicago Red Stars,NJ/NY Gotham FC,"5,078",SeatGeek Stadium
2022-08-07,OL Reign,Houston Dash,"7,252",Lumen Field
2022-08-07,San Diego Wave FC,Kansas City Current,,Torero Stadium
2022-08-10,Washington Spirit,Portland Thorns FC,"3,037",Segra Field
2022-08-12,Houston Dash,Racing Louisville FC,"5,279",Shell Energy Stadium
2022-08-13,San Diego Wave FC,Orlando Pride,"4,418",Torero Stadium
2022-08-13,North Carolina Courage,Kansas City Current,"5,092",WakeMed Soccer Park
2022-08-14,Angel City FC,Chicago Red Stars,"17,002",BMO Stadium
2022-08-14,OL Reign,NJ/NY Gotham FC,,Lumen Field
2022-08-17,Houston Dash,NJ/NY Gotham FC,"4,753",Shell Energy Stadium
2022-08-19,Kansas City Current,Angel City FC,"10,395",Children's Mercy Park
2022-08-20,San Diego Wave FC,Houston Dash,"5,281",Torero Stadium
2022-08-20,NJ/NY Gotham FC,Orlando Pride,"4,107",Subaru Park
2022-08-20,North Carolina Courage,Chicago Red Stars,"3,571",WakeMed Soccer Park
2022-08-24,North Carolina Courage,Portland Thorns FC,"3,114",WakeMed Soccer Park
2022-08-26,Orlando Pride,OL Reign,"4,588",Inter&Co Stadium
2022-08-27,Portland Thorns FC,San Diego Wave FC,"18,624",Providence Park
2022-08-27,Houston Dash,Washington Spirit,"5,031",Shell Energy Stadium
2022-08-27,Racing Louisville FC,Chicago Red Stars,"8,729",Lynn Family Stadium
2022-08-28,Kansas City Current,North Carolina Courage,"7,395",Children's Mercy Park
2022-08-28,NJ/NY Gotham FC,Angel City FC,,Red Bull Arena
2022-09-04,NJ/NY Gotham FC,North Carolina Courage,"3,124",Red Bull Arena
2022-09-09,OL Reign,Chicago Red Stars,"7,427",Lumen Field
2022-09-09,Orlando Pride,Portland Thorns FC,,Inter&Co Stadium
2022-09-10,North Carolina Courage,Racing Louisville FC,,WakeMed Soccer Park
2022-09-10,Washington Spirit,San Diego Wave FC,,Audi Field
2022-09-11,Houston Dash,Angel City FC,"5,927",Shell Energy Stadium
2022-09-11,NJ/NY Gotham FC,Kansas City Current,"2,130",Red Bull Arena
2022-09-14,Chicago Red Stars,Kansas City Current,"2,135",SeatGeek Stadium
2022-09-14,North Carolina Courage,Angel City FC,"3,661",WakeMed Soccer Park
2022-09-16,Racing Louisville FC,Orlando Pride,"5,397",Lynn Family Stadium
2022-09-17,San Diego Wave FC,Angel City FC,"32,000",Snapdragon Stadium
2022-09-17,Chicago Red Stars,Houston Dash,"5,488",SeatGeek Stadium
2022-09-17,North Carolina Courage,OL Reign,"6,398",WakeMed Soccer Park
2022-09-17,Washington Spirit,NJ/NY Gotham FC,"8,781",Audi Field
2022-09-18,Kansas City Current,Portland Thorns FC,"9,281",Children's Mercy Park
2022-09-21,Angel City FC,Washington Spirit,"16,112",BMO Stadium
2022-09-21,Portland Thorns FC,Racing Louisville FC,"15,652",Providence Park
2022-09-21,NJ/NY Gotham FC,OL Reign,"2,274",Red Bull Arena
2022-09-21,Orlando Pride,North Carolina Courage,"3,258",Inter&Co Stadium
2022-09-24,Houston Dash,OL Reign,,Shell Energy Stadium
2022-09-24,North Carolina Courage,NJ/NY Gotham FC,"6,376",WakeMed Soccer Park
2022-09-25,Angel City FC,Racing Louisville FC,"22,000",BMO Stadium
2022-09-25,Orlando Pride,San Diego Wave FC,"6,466",Inter&Co Stadium
2022-09-25,Kansas City Current,Washington Spirit,"9,593",Children's Mercy Park
2022-09-25,Portland Thorns FC,Chicago Red Stars,"19,127",Providence Park
2022-09-30,San Diego Wave FC,North Carolina Courage,"18,000",Snapdragon Stadium
2022-10-01,OL Reign,Orlando Pride,"10,746",Lumen Field
2022-10-01,Racing Louisville FC,Kansas City Current,"6,622",Lynn Family Stadium
2022-10-01,Washington Spirit,Houston Dash,"9,141",Audi Field
2022-10-01,NJ/NY Gotham FC,Portland Thorns FC,"4,752",Red Bull Arena
2022-10-02,Chicago Red Stars,Angel City FC,"8,347",SeatGeek Stadium
2022-10-16,San Diego Wave FC,Chicago Red Stars,"26,215",Snapdragon Stadium
2022-10-16,Houston Dash,Kansas City Current,"21,284",Shell Energy Stadium
2022-10-23,OL Reign,Kansas City Current,"21,491",Lumen Field
2022-10-23,Portland Thorns FC,San Diego Wave FC,"22,035",Providence Park
2022-10-29,Portland Thorns FC,Kansas City Current,,Audi Field
2023-03-25,San Diego Wave FC,Chicago Red Stars,"30,854",Snapdragon Stadium
2023-03-25,North Carolina Courage,Kansas City Current,"4,948",WakeMed Soccer Park
2023-03-26,Angel City FC,NJ/NY Gotham FC,"22,000",BMO Stadium
2023-03-26,Houston Dash,Racing Louisville FC,"5,722",Shell Energy Stadium
2023-03-26,Portland Thorns FC,Orlando Pride,"15,204",Providence Park
2023-03-26,Washington Spirit,OL Reign,"11,281",Audi Field
2023-04-01,San Diego Wave FC,North Carolina Courage,,Snapdragon Stadium
2023-04-01,NJ/NY Gotham FC,OL Reign,"7,534",Red Bull Arena
2023-04-01,Racing Louisville FC,Washington Spirit,"4,861",Lynn Family Stadium
2023-04-01,Chicago Red Stars,Houston Dash,"4,065",SeatGeek Stadium
2023-04-01,Kansas City Current,Portland Thorns FC,"11,301",Children's Mercy Park
2023-04-02,Orlando Pride,Angel City FC,"7,137",Inter&Co Stadium
2023-04-14,Portland Thorns FC,Houston Dash,"15,657",Providence Park
2023-04-15,Angel City FC,Racing Louisville FC,"18,007",BMO Stadium
2023-04-15,OL Reign,San Diego Wave FC,"9,219",Lumen Field
2023-04-15,Chicago Red Stars,Kansas City Current,,SeatGeek Stadium
2023-04-15,North Carolina Courage,Washington Spirit,"5,160",WakeMed Soccer Park
2023-04-15,Orlando Pride,NJ/NY Gotham FC,"5,258",Inter&Co Stadium
2023-04-22,Portland Thorns FC,Racing Louisville FC,"14,972",Providence Park
2023-04-22,NJ/NY Gotham FC,North Carolina Courage,"3,200",Red Bull Arena
2023-04-22,Washington Spirit,Houston Dash,"7,073",Audi Field
2023-04-22,OL Reign,Chicago Red Stars,"6,186",Lumen Field
2023-04-23,Angel City FC,San Diego Wave FC,"22,000",BMO Stadium
2023-04-23,Kansas City Current,Orlando Pride,"9,808",Children's Mercy Park
2023-04-28,Houston Dash,North Carolina Courage,,Shell Energy Stadium
2023-04-29,Portland Thorns FC,Angel City FC,"16,938",Providence Park
2023-04-29,San Diego Wave FC,Orlando Pride,"16,225",Snapdragon Stadium
2023-04-29,Chicago Red Stars,Washington Spirit,"3,610",SeatGeek Stadium
2023-04-29,Racing Louisville FC,OL Reign,"6,185",Lynn Family Stadium
2023-04-30,Kansas City Current,NJ/NY Gotham FC,"9,409",Children's Mercy Park
2023-05-06,OL Reign,Houston Dash,"6,132",Lumen Field
2023-05-06,Orlando Pride,Racing Louisville FC,"5,106",Inter&Co Stadium
2023-05-06,North Carolina Courage,Portland Thorns FC,"7,070",WakeMed Soccer Park
2023-05-06,Washington Spirit,San Diego Wave FC,"12,232",Audi Field
2023-05-07,Angel City FC,Kansas City Current,"19,219",BMO Stadium
2023-05-07,Chicago Red Stars,NJ/NY Gotham FC,"3,692",SeatGeek Stadium
2023-05-12,Houston Dash,Portland Thorns FC,"4,638",Shell Energy Stadium
2023-05-12,Racing Louisville FC,Chicago Red Stars,"4,143",Lynn Family Stadium
2023-05-13,Angel City FC,Washington Spirit,"17,427",BMO Stadium
2023-05-14,Kansas City Current,San Diego Wave FC,"12,969",Children's Mercy Park
2023-05-14,NJ/NY Gotham FC,Orlando Pride,"3,468",Red Bull Arena
2023-05-14,North Carolina Courage,OL Reign,"4,059",WakeMed Soccer Park
2023-05-20,Houston Dash,San Diego Wave FC,"5,966",Shell Energy Stadium
2023-05-20,Kansas City Current,Racing Louisville FC,"10,603",Children's Mercy Park
2023-05-20,North Carolina Courage,Angel City FC,"4,723",WakeMed Soccer Park
2023-05-20,Orlando Pride,Washington Spirit,"4,290",Inter&Co Stadium
2023-05-21,OL Reign,NJ/NY Gotham FC,"8,146",Lumen Field
2023-05-21,Portland Thorns FC,Chicago Red Stars,"20,402",Providence Park
2023-05-26,San Diego Wave FC,Portland Thorns FC,"18,130",Snapdragon Stadium
2023-05-26,Kansas City Current,Houston Dash,"9,897",Children's Mercy Park
2023-05-27,Racing Louisville FC,North Carolina Courage,"5,874",Lynn Family Stadium
2023-05-27,Chicago Red Stars,Orlando Pride,"5,646",SeatGeek Stadium
2023-05-27,OL Reign,Angel City FC,"7,620",Lumen Field
2023-05-28,Washington Spirit,NJ/NY Gotham FC,"11,545",Audi Field
2023-06-03,Houston Dash,Orlando Pride,"4,863",Shell Energy Stadium
