Date,Home,Away,Attendance,Venue
2023-06-03,Kansas City Current,North Carolina Courage,"10,294",Children's Mercy Park
2023-06-03,Washington Spirit,Racing Louisville FC,"8,515",Audi Field
2023-06-03,OL Reign,Portland Thorns FC,,Lumen Field
2023-06-04,NJ/NY Gotham FC,San Diego Wave FC,"15,058",Red Bull Arena
2023-06-05,Angel City FC,Chicago Red Stars,"16,682",BMO Stadium
2023-06-09,Racing Louisville FC,San Diego Wave FC,"6,753",Lynn Family Stadium
2023-06-10,OL Reign,Kansas City Current,"8,271",Lumen Field
2023-06-10,Chicago Red Stars,North Carolina Courage,"3,541",SeatGeek Stadium
2023-06-10,Washington Spirit,Angel City FC,"10,032",Audi Field
2023-06-11,Houston Dash,NJ/NY Gotham FC,"5,827",Shell Energy Stadium
2023-06-11,Orlando Pride,Portland Thorns FC,"7,319",Inter&Co Stadium
2023-06-17,Houston Dash,OL Reign,"8,128",Shell Energy Stadium
2023-06-17,North Carolina Courage,Orlando Pride,"4,014",WakeMed Soccer Park
2023-06-17,San Diego Wave FC,Angel City FC,"25,515",Snapdragon Stadium
2023-06-18,Kansas City Current,Washington Spirit,"9,644",Children's Mercy Park
2023-06-18,Chicago Red Stars,Portland Thorns FC,"3,655",SeatGeek Stadium
2023-06-18,Racing Louisville FC,NJ/NY Gotham FC,"5,103",Lynn Family Stadium
2023-06-23,Portland Thorns FC,Washington Spirit,"20,254",Providence Park
2023-06-24,San Diego Wave FC,OL Reign,"22,682",Snapdragon Stadium
2023-06-24,Orlando Pride,Kansas City Current,"6,473",Inter&Co Stadium
2023-06-24,North Carolina Courage,Racing Louisville FC,"4,041",WakeMed Soccer Park
2023-06-25,Angel City FC,Houston Dash,"22,000",BMO Stadium
2023-06-25,NJ/NY Gotham FC,Chicago Red Stars,"5,601",Red Bull Arena
2023-07-01,Portland Thorns FC,Kansas City Current,"17,796",Providence Park
2023-07-01,North Carolina Courage,Houston Dash,"4,387",WakeMed Soccer Park
2023-07-01,Washington Spirit,Orlando Pride,"8,901",Audi Field
2023-07-01,Chicago Red Stars,San Diego Wave FC,"5,698",SeatGeek Stadium
2023-07-01,OL Reign,Racing Louisville FC,"7,495",Lumen Field
2023-07-02,NJ/NY Gotham FC,Angel City FC,"4,991",Red Bull Arena
2023-07-07,Houston Dash,Chicago Red Stars,"4,892",Shell Energy Stadium
2023-07-07,Racing Louisville FC,Kansas City Current,"5,097",Lynn Family Stadium
2023-07-07,Orlando Pride,OL Reign,"6,424",Inter&Co Stadium
2023-07-08,San Diego Wave FC,Washington Spirit,"14,362",Snapdragon Stadium
2023-07-09,Angel City FC,North Carolina Courage,"17,876",BMO Stadium
2023-07-09,NJ/NY Gotham FC,Portland Thorns FC,"3,932",Red Bull Arena
2023-08-18,Kansas City Current,OL Reign,"13,455",Children's Mercy Park
2023-08-19,Houston Dash,Washington Spirit,"4,822",Shell Energy Stadium
2023-08-19,San Diego Wave FC,NJ/NY Gotham FC,"12,045",Snapdragon Stadium
2023-08-19,Racing Louisville FC,Angel City FC,"10,214",Lynn Family Stadium
2023-08-20,Portland Thorns FC,North Carolina Courage,"22,107",Providence Park
2023-08-20,Orlando Pride,Chicago Red Stars,"5,904",Inter&Co Stadium
2023-08-25,Orlando Pride,San Diego Wave FC,"3,730",Inter&Co Stadium
2023-08-26,Houston Dash,Kansas City Current,"4,536",Shell Energy Stadium
2023-08-27,Angel City FC,OL Reign,"22,000",BMO Stadium
2023-08-27,NJ/NY Gotham FC,Racing Louisville FC,"4,231",Red Bull Arena
2023-08-27,Washington Spirit,Portland Thorns FC,"13,048",Audi Field
2023-08-27,North Carolina Courage,Chicago Red Stars,,WakeMed Soccer Park
2023-09-01,Kansas City Current,Angel City FC,"11,827",Children's Mercy Park
2023-09-02,North Carolina Courage,NJ/NY Gotham FC,"6,389",WakeMed Soccer Park
2023-09-02,Racing Louisville FC,Portland Thorns FC,"5,778",Lynn Family Stadium
2023-09-03,San Diego Wave FC,Houston Dash,"24,936",Snapdragon Stadium
2023-09-03,OL Reign,Orlando Pride,"10,106",Lumen Field
2023-09-03,Washington Spirit,Chicago Red Stars,"10,035",Audi Field
2023-09-15,Racing Louisville FC,Houston Dash,"5,526",Lynn Family Stadium
2023-09-16,Portland Thorns FC,OL Reign,"25,218",Providence Park
2023-09-16,San Diego Wave FC,Kansas City Current,"15,832",Snapdragon Stadium
2023-09-16,NJ/NY Gotham FC,Washington Spirit,"6,202",Red Bull Arena
2023-09-17,Orlando Pride,North Carolina Courage,"5,907",Inter&Co Stadium
2023-09-17,Chicago Red Stars,Angel City FC,"8,961",SeatGeek Stadium
2023-09-30,Portland Thorns FC,San Diego Wave FC,"19,947",Providence Park
2023-09-30,Chicago Red Stars,Racing Louisville FC,"4,104",SeatGeek Stadium
2023-09-30,Washington Spirit,Kansas City Current,"11,607",Audi Field
2023-10-01,OL Reign,North Carolina Courage,"10,345",Lumen Field
2023-10-01,NJ/NY Gotham FC,Houston Dash,,Red Bull Arena
2023-10-02,Angel City FC,Orlando Pride,"18,102",BMO Stadium
2023-10-06,OL Reign,Washington Spirit,"34,130",Lumen Field
2023-10-06,Racing Louisville FC,Orlando Pride,"6,455",Lynn Family Stadium
2023-10-07,Kansas City Current,Chicago Red Stars,"15,671",Children's Mercy Park
2023-10-07,North Carolina Courage,San Diego Wave FC,"10,434",WakeMed Soccer Park
2023-10-07,Portland Thorns FC,NJ/NY Gotham FC,"19,599",Providence Park
2023-10-08,Houston Dash,Angel City FC,"9,175",Shell Energy Stadium
2023-10-15,Washington Spirit,North Carolina Courage,"15,479",Audi Field
2023-10-15,NJ/NY Gotham FC,Kansas City Current,"9,005",Red Bull Arena
2023-10-15,Orlando Pride,Houston Dash,"8,504",Inter&Co Stadium
2023-10-15,Chicago Red Stars,OL Reign,"8,004",SeatGeek Stadium
2023-10-15,Angel City FC,Portland Thorns FC,"22,000",BMO Stadium
2023-10-15,San Diego Wave FC,Racing Louisville FC,"30,312",Snapdragon Stadium
2023-10-20,OL Reign,Angel City FC,"12,152",Lumen Field
2023-10-22,North Carolina Courage,NJ/NY Gotham FC,"4,612",WakeMed Soccer Park
2023-11-05,San Diego Wave FC,OL Reign,"32,262",Snapdragon Stadium
2023-11-05,Portland Thorns FC,NJ/NY Gotham FC,"25,218",Providence Park
2023-11-11,OL Reign,NJ/NY Gotham FC,"25,011",Snapdragon Stadium
2024-03-16,Kansas City Current,Portland Thorns,11500,CPKC Stadium
2024-03-16,Racing Louisville FC,Orlando Pride,6123,Lynn Family Stadium
2024-03-16,North Carolina Courage,Houston Dash,5878,WakeMed Soccer Park
2024-03-16,Utah Royals FC,Chicago Red Stars,20370,America First Field
2024-03-17,Angel City FC,Bay FC,22000,BMO Stadium
2024-03-17,Seattle Reign,Washington Spirit,8557,Lumen Field
2024-03-22,Orlando Pride,Angel City FC,6306,Inter&Co Stadium
2024-03-22,Utah Royals FC,North Carolina Courage,8161,America First Field
2024-03-23,Chicago Red Stars,Seattle Reign,5494,SeatGeek Stadium
2024-03-23,Washington Spirit,Bay FC,11734,Audi Field
2024-03-23,Houston Dash,Racing Louisville FC,8600,Shell Energy Stadium
2024-03-23,San Diego Wave FC,Kansas City Current,32066,Snapdragon Stadium
2024-03-24,Portland Thorns,NJ/NY Gotham FC,19857,Providence Park
2024-03-29,Orlando Pride,Chicago Red Stars,5586,Inter&Co Stadium
2024-03-29,San Diego Wave FC,Seattle Reign,16746,Snapdragon Stadium
2024-03-30,North Carolina Courage,NJ/NY Gotham FC,5281,WakeMed Soccer Park
2024-03-30,Kansas City Current,Angel City FC,11500,CPKC Stadium
2024-03-30,Portland Thorns,Racing Louisville FC,16688,Providence Park
2024-03-30,Bay FC,Houston Dash,18000,PayPal Park
2024-03-31,Washington Spirit,Utah Royals FC,8182,Audi Field
2024-04-12,Houston Dash,Washington Spirit,7767,Shell Energy Stadium
2024-04-12,Utah Royals FC,Orlando Pride,8578,America First Field
2024-04-13,North Carolina Courage,Portland Thorns,5711,WakeMed Soccer Park
2024-04-13,Racing Louisville FC,San Diego Wave FC,6818,Lynn Family Stadium
2024-04-13,Chicago Red Stars,Angel City FC,3168,SeatGeek Stadium
2024-04-14,NJ/NY Gotham FC,Kansas City Current,8573,Sports Illustrated Stadium
2024-04-14,Bay FC,Seattle Reign,16719,PayPal Park
2024-04-19,Orlando Pride,San Diego Wave FC,7701,Inter&Co Stadium
2024-04-20,Washington Spirit,NJ/NY Gotham FC,15004,Audi Field
2024-04-20,Kansas City Current,Bay FC,11500,CPKC Stadium
2024-04-20,Racing Louisville FC,Utah Royals FC,11365,Lynn Family Stadium
2024-04-20,Portland Thorns,Houston Dash,17580,Providence Park
2024-04-21,Seattle Reign,Chicago Red Stars,9626,Lumen Field
2024-04-21,Angel City FC,North Carolina Courage,22000,BMO Stadium
2024-04-26,Washington Spirit,Orlando Pride,11636,Audi Field
2024-04-26,Angel City FC,Kansas City Current,19178,BMO Stadium
2024-04-27,North Carolina Courage,Seattle Reign,8135,WakeMed Soccer Park
2024-04-27,Chicago Red Stars,Portland Thorns,4544,SeatGeek Stadium
2024-04-27,Utah Royals FC,Houston Dash,10349,America First Field
2024-04-27,San Diego Wave FC,Bay FC,17206,Snapdragon Stadium
2024-04-28,NJ/NY Gotham FC,Racing Louisville FC,6015,Sports Illustrated Stadium
2024-05-01,Orlando Pride,North Carolina Courage,4702,Inter&Co Stadium
2024-05-01,Chicago Red Stars,Washington Spirit,2999,SeatGeek Stadium
2024-05-01,Bay FC,Portland Thorns,10611,PayPal Park
2024-05-03,Utah Royals FC,Angel City FC,10731,America First Field
2024-05-03,Seattle Reign,San Diego Wave FC,7030,Lumen Field
2024-05-04,NJ/NY Gotham FC,North Carolina Courage,6184,Sports Illustrated Stadium
2024-05-04,Washington Spirit,Portland Thorns,17039,Providence Park
2024-05-05,Houston Dash,Kansas City Current,5099,Shell Energy Stadium
2024-05-05,Orlando Pride,Racing Louisville FC,6837,Inter&Co Stadium
2024-05-05,Bay FC,Chicago Red Stars,14317,PayPal Park
2024-05-08,Houston Dash,NJ/NY Gotham FC,4438,Shell Energy Stadium
2024-05-08,Seattle Reign,Kansas City Current,5083,Lumen Field
2024-05-08,San Diego Wave FC,Utah Royals FC,10289,Snapdragon Stadium
2024-05-10,Racing Louisville FC,Washington Spirit,6222,Lynn Family Stadium
2024-05-11,Orlando Pride,Bay FC,7707,Inter&Co Stadium
2024-05-11,Portland Thorns,Seattle Reign,20229,Providence Park
2024-05-12,Chicago Red Stars,Utah Royals FC,3104,SeatGeek Stadium
2024-05-12,San Diego Wave FC,NJ/NY Gotham FC,16024,Snapdragon Stadium
2024-05-12,Angel City FC,Houston Dash,18037,BMO Stadium
2024-05-12,Kansas City Current,North Carolina Courage,11500,CPKC Stadium
2024-05-17,North Carolina Courage,Utah Royals FC,4528,WakeMed Soccer Park
2024-05-17,Bay FC,San Diego Wave FC,16930,PayPal Park
2024-05-17,Houston Dash,Portland Thorns,5726,Shell Energy Stadium
2024-05-18,Washington Spirit,Angel City FC,13342,Audi Field
2024-05-18,Kansas City Current,Racing Louisville FC,11500,CPKC Stadium
2024-05-19,NJ/NY Gotham FC,Chicago Red Stars,8996,Sports Illustrated Stadium
2024-05-19,Seattle Reign,Orlando Pride,6781,Lumen Field
2024-05-23,Angel City FC,San Diego Wave FC,,BMO Stadium
2024-05-24,Bay FC,NJ/NY Gotham FC,12643,PayPal Park
2024-05-24,Washington Spirit,Seattle Reign,11551,Audi Field
2024-05-24,Orlando Pride,Portland Thorns,9226,Inter&Co Stadium
2024-05-24,Houston Dash,North Carolina Courage,4732,Shell Energy Stadium
2024-05-25,Utah Royals FC,Kansas City Current,7491,America First Field
2024-05-25,Chicago Red Stars,Racing Louisville FC,3872,SeatGeek Stadium
2024-06-07,Racing Louisville FC,Houston Dash,6061,Lynn Family Stadium
2024-06-07,San Diego Wave FC,Orlando Pride,17073,Snapdragon Stadium
2024-06-08,NJ/NY Gotham FC,Angel City FC,11662,Sports Illustrated Stadium
2024-06-08,Utah Royals FC,Washington Spirit,8486,America First Field
2024-06-08,Chicago Red Stars,Bay FC,35038,Wrigley Field
2024-06-08,Portland Thorns,North Carolina Courage,21025,Providence Park
2024-06-09,Kansas City Current,Seattle Reign,11500,CPKC Stadium
2024-06-14,Kansas City Current,Chicago Red Stars,11500,CPKC Stadium
2024-06-15,Racing Louisville FC,NJ/NY Gotham FC,6412,Lynn Family Stadium
2024-06-15,Houston Dash,Angel City FC,6147,Shell Energy Stadium
2024-06-15,Washington Spirit,San Diego Wave FC,19897,Audi Field
2024-06-15,North Carolina Courage,Orlando Pride,4776,WakeMed Soccer Park
2024-06-16,Seattle Reign,Portland Thorns,9052,Lumen Field
2024-06-16,Bay FC,Utah Royals FC,10367,PayPal Park
2024-06-19,NJ/NY Gotham FC,San Diego Wave FC,10718,Sports Illustrated Stadium
2024-06-19,Angel City FC,Racing Louisville FC,16735,BMO Stadium
2024-06-21,Orlando Pride,Utah Royals FC,9656,Inter&Co Stadium
2024-06-22,Bay FC,Angel City FC,15640,PayPal Park
2024-06-22,Houston Dash,San Diego Wave FC,6473,Shell Energy Stadium
2024-06-23,NJ/NY Gotham FC,Washington Spirit,8396,Sports Illustrated Stadium
2024-06-23,Portland Thorns,Kansas City Current,20024,Providence Park
2024-06-23,North Carolina Courage,Chicago Red Stars,5256,WakeMed Soccer Park
2024-06-23,Seattle Reign,Racing Louisville FC,10715,Lumen Field
2024-06-28,Kansas City Current,Houston Dash,11500,CPKC Stadium
2024-06-28,San Diego Wave FC,Chicago Red Stars,24115,Snapdragon Stadium
2024-06-29,Washington Spirit,North Carolina Courage,15717,Audi Field
2024-06-29,Racing Louisville FC,Bay FC,8096,Lynn Family Stadium
2024-06-29,Utah Royals FC,Portland Thorns,8677,America First Field
2024-06-30,NJ/NY Gotham FC,Seattle Reign,7064,Sports Illustrated Stadium
2024-06-30,Angel City FC,Orlando Pride,22000,BMO Stadium
2024-07-05,Portland Thorns,San Diego Wave FC,18011,Providence Park
2024-07-06,Angel City FC,NJ/NY Gotham FC,,BMO Stadium
2024-07-06,Bay FC,Washington Spirit,11384,PayPal Park
2024-07-06,Kansas City Current,Orlando Pride,11500,CPKC Stadium
2024-07-06,Chicago Red Stars,Houston Dash,5566,SeatGeek Stadium
2024-07-07,North Carolina Courage,Racing Louisville FC,4738,WakeMed Soccer Park
2024-07-07,Seattle Reign,Utah Royals FC,6276,Lumen Field
2024-08-23,houston Dash,Orlando Pride,6514,Shell Energy Stadium
2024-08-23,Utah Royals FC,Bay FC,14539,America First Field
2024-08-24,NJ/NY Gotham FC,Portland Thorns,10640,Sports Illustrated Stadium
2024-08-24,San Diego Wave FC,Angel City FC,,Snapdragon Stadium
2024-08-24,Racing Louisville FC,Chicago Red Stars,6607,Lynn Family Stadium
2024-08-25,Washington Spirit,Kansas City Current,,Audi Field
2024-08-25,Seattle Reign,North Carolina Courage,16598,Lumen Field
2024-08-30,Portland Thorns,Bay FC,18018,Providence Park
2024-08-31,Racing Louisville FC,Seattle Reign,5011,Lynn Family Stadium
2024-08-31,houston Dash,Utah Royals FC,5171,Shell Energy Stadium
2024-09-01,Angel City FC,Chicago Red Stars,18159,BMO Stadium
2024-09-01,San Diego Wave FC,Washington Spirit,23541,Snapdragon Stadium
2024-09-01,North Carolina Courage,Kansas City Current,6003,WakeMed Soccer Park
2024-09-01,Orlando Pride,NJ/NY Gotham FC,8726,Inter&Co Stadium
2024-09-06,Angel City FC,Seattle Reign,16023,BMO Stadium
2024-09-07,Washington Spirit,Portland Thorns,14306,Audi Field
2024-09-07,Kansas City Current,Utah Royals FC,11500,CPKC Stadium
2024-09-07,Bay FC,Racing Louisville FC,11478,PayPal Park
2024-09-08,NJ/NY Gotham FC,Houston Dash,5883,Sports Illustrated Stadium
2024-09-08,Chicago Red Stars,Orlando Pride,7291,SeatGeek Stadium
2024-09-08,San Diego Wave FC,North Carolina Courage,26516,Snapdragon Stadium
2024-09-13,Orlando Pride,Kansas City Current,9396,Inter&Co Stadium
2024-09-13,North Carolina Courage,Bay FC,6837,WakeMed Soccer Park
2024-09-13,Portland Thorns,Chicago Red Stars,,Providence Park
2024-09-14,Racing Louisville FC,Angel City FC,5493,Lynn Family Stadium
2024-09-14,Utah Royals FC,San Diego Wave FC,9494,America First Field
2024-09-15,Washington Spirit,Houston Dash,11792,Audi Field
2024-09-16,Seattle Reign,NJ/NY Gotham FC,,Lumen Field
2024-09-20,Kansas City Current,Washington Spirit,,CPKC Stadium
2024-09-20,Bay FC,Orlando Pride,11063,PayPal Park
2024-09-21,Racing Louisville FC,North Carolina Courage,4653,Lynn Family Stadium
2024-09-21,Houston Dash,Seattle Reign,,Shell Energy Stadium
2024-09-21,Chicago Red Stars,San Diego Wave FC,5045,SeatGeek Stadium
2024-09-22,NJ/NY Gotham FC,Utah Royals FC,7680,Sports Illustrated Stadium
2024-09-23,Angel City FC,Portland Thorns,22000,BMO Stadium
2024-09-27,Angel City FC,Washington Spirit,19257,BMO Stadium
2024-09-28,Kansas City Current,NJ/NY Gotham FC,11500,CPKC Stadium
2024-09-28,Utah Royals FC,Racing Louisville FC,9002,America First Field
2024-09-28,Orlando Pride,Houston Dash,17087,Inter&Co Stadium
2024-09-28,San Diego Wave FC,Portland Thorns,,Snapdragon Stadium
2024-09-29,Chicago Red Stars,North Carolina Courage,4317,SeatGeek Stadium
2024-09-29,Seattle Reign,Bay FC,9051,Lumen Field
2024-10-04,Seattle Reign,Angel City FC,,Lumen Field
2024-10-04,Houston Dash,Chicago Red Stars,5870,Shell Energy Stadium
2024-10-05,NJ/NY Gotham FC,Bay FC,,Sports Illustrated Stadium
2024-10-05,Racing Louisville FC,Kansas City Current,6013,Lynn Family Stadium
2024-10-05,North Carolina Courage,San Diego Wave FC,,WakeMed Soccer Park
2024-10-05,Portland Thorns,Utah Royals FC,17451,Providence Park
2024-10-06,Orlando Pride,Washington Spirit,7729,Inter&Co Stadium
2024-10-11,Portland Thorns,Orlando Pride,,Providence Park
2024-10-12,Chicago Red Stars,NJ/NY Gotham FC,,SeatGeek Stadium
2024-10-12,North Carolina Courage,Angel City FC,7037,WakeMed Soccer Park
2024-10-12,Bay FC,Kansas City Current,,PayPal Park
2024-10-13,Washington Spirit,Racing Louisville FC,,Audi Field
2024-10-13,Utah Royals FC,Seattle Reign,,America First Field
2024-10-13,San Diego Wave FC,Houston Dash,,Snapdragon Stadium
2024-10-18,Seattle Reign,Houston Dash,,Lumen Field
2024-10-19,Kansas City Current,San Diego Wave FC,,CPKC Stadium
2024-10-19,Racing Louisville FC,Portland Thorns,5905,Lynn Family Stadium
2024-10-19,Bay FC,North Carolina Courage,14901,PayPal Park
2024-10-20,NJ/NY Gotham FC,Orlando Pride,,Sports Illustrated Stadium
2024-10-20,Angel City FC,Utah Royals FC,20039,BMO Stadium
2024-10-20,Washington Spirit,Chicago Red Stars,,Audi Field
2024-11-01,Utah Royals FC,NJ/NY Gotham FC,9879,America First Field
2024-11-01,Portland Thorns,Angel City FC,23212,Providence Park
2024-11-02,North Carolina Courage,Washington Spirit,10026,WakeMed Soccer Park
2024-11-02,Orlando Pride,Seattle Reign,7765,Inter&Co Stadium
2024-11-02,Houston Dash,Bay FC,8176,Shell Energy Stadium
2024-11-03,Chicago Red Stars,Kansas City Current,5595,SeatGeek Stadium
2024-11-03,San Diego Wave FC,Racing Louisville FC,2137,Lynn Family Stadium
2024-11-08,Orlando Pride,Chicago Red Stars,11496,Inter&Co Stadium
2024-11-09,Kansas City Current,North Carolina Courage,,CPKC Stadium
2024-11-10,NJ/NY Gotham FC,Portland Thorns,15540,Sports Illustrated Stadium
2024-11-10,Washington Spirit,Bay FC,,Audi Field
2024-11-16,Washington Spirit,NJ/NY Gotham FC,19365,Audi Field
2024-11-17,Orlando Pride,Kansas City Current,14524,Inter&Co Stadium
2024-11-23,Orlando Pride,Washington Spirit,,CPKC Stadium